Date,Rocket-TVL,market_cap
2023-01-24,902702304,709493457.9650766
2023-01-25,875683683.5,704428951.044392
2023-01-26,928945844.2,760050404.0940762
2023-01-27,911794299.1,744856925.6915964
2023-01-28,925822686.2,755633327.057894
2023-01-29,912003121.5,727477753.2886994
2023-01-30,946606956.5,764537018.5723001
2023-01-31,902127182.8,718775103.491861
2023-02-01,912962360.3,730617279.8558769
2023-02-02,971373148.7,761665990.5447317
2023-02-03,969024802.7,799813064.9332949
2023-02-04,968039000,783191477.7566558
2023-02-05,968252536.8,779096027.9016101
2023-02-06,941313157.8,747286104.1055115
2023-02-07,955169596.4,775395220.7906789
2023-02-08,990320425.1,823377024.6604615
2023-02-09,974985686.8,784710428.1342866
2023-02-10,1019551741,935118836.3602192
2023-02-11,953584074.3,870856325.4611104
2023-02-12,978616991.2,887001956.6528419
2023-02-13,967687759.2,891849552.4325969
2023-02-14,940895669.8,792317459.3454494
2023-02-15,968673065.5,818819657.0903062
2023-02-16,1058631267,899383574.8130385
2023-02-17,1054960156,908823753.8358568
2023-02-18,1106088599,1015951888.1421628
2023-02-19,1127269031,1027124782.5227402
2023-02-20,1096416959,985229062.7139049
2023-02-21,1107688572,956747930.5608318
2023-02-22,1066599453,915515077.80652
2023-02-23,1079928608,946716818.4064168
2023-02-24,1088631576,957066674.2091053
2023-02-25,1049530888,895133688.3994309
2023-02-26,1058911224,911366222.3173938
2023-02-27,1094828024,954920827.6024084
2023-02-28,1081775522,926828439.2572228
2023-03-01,1063654629,892537407.281333
2023-03-02,1092767971,894330870.5277035
2023-03-03,1059117209,849249588.6657944
2023-03-04,1012069421,788101439.7741685
2023-03-05,997097763.3,752010869.3295286
2023-03-06,1005048512,772551314.3414931
2023-03-07,991313966.2,745745878.67243
2023-03-08,964872285.5,704615851.5433965
2023-03-09,951382897,709416359.7460792
2023-03-10,902132042.3,699710697.8184351
2023-03-11,904609809.6,679432005.0220232
2023-03-12,904652194.3,654071732.5730199
2023-03-13,998734467.6,710325996.664515
