,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,05/02/2021,1612483200,0,,,207027159.7508004,,207027159.7508004,,,,207027159.7508004,,,,207027159.7508004,,,,,,,,,,126711.28544052767,,,,126711.28544052767,,,,,,
,06/02/2021,1612569600,0,,,211317161.22480392,,211317161.22480392,,,,211317161.22480392,,,,211317161.22480392,,,,,,,,,,128268.41205855341,,,,128268.41205855341,,,,,,
,07/02/2021,1612656000,0,,,222659990.38239062,,222659990.38239062,,,,222659990.38239062,,,,222659990.38239062,,,,,,,,,,131717.74843982555,,,,131717.74843982555,,,,,,
,08/02/2021,1612742400,0,,,223083142.25739408,,223083142.25739408,,,,223083142.25739408,,,,223083142.25739408,,,,,,,,,,136103.6085816591,,,,136103.6085816591,,,,,,
,09/02/2021,1612828800,0,,,226682734.5152434,,226682734.5152434,,,,226682734.5152434,,,,226682734.5152434,,,,,,,,,,137777.16233227038,,,,137777.16233227038,,,,,,
,10/02/2021,1612915200,0,,,244636373.57562083,,244636373.57562083,,,,244636373.57562083,,,,244636373.57562083,,,,,,,,,,141770.03528385804,,,,141770.03528385804,,,,,,
,11/02/2021,1613001600,0,,,258690801.88511303,,258690801.88511303,,,,258690801.88511303,,,,258690801.88511303,,,,,,,,,,144317.47466034495,,,,144317.47466034495,,,,,,
,12/02/2021,1613088000,0,,,257373193.4633959,,257373193.4633959,,,,257373193.4633959,,,,257373193.4633959,,,,,,,,,,144505.25155101495,,,,144505.25155101495,,,,,,
,13/02/2021,1613174400,0,,,255301490.0743725,,255301490.0743725,,,,255301490.0743725,,,,255301490.0743725,,,,,,,,,,144668.8518429147,,,,144668.8518429147,,,,,,
,14/02/2021,1613260800,0,,,261404596.68810263,,261404596.68810263,,,,261404596.68810263,,,,261404596.68810263,,,,,,,,,,145874.468370879,,,,145874.468370879,,,,,,
,15/02/2021,1613347200,0,,,300220386.8915475,,300220386.8915475,,,,300220386.8915475,,,,300220386.8915475,,,,,,,,,,163836.00368979498,,,,163836.00368979498,,,,,,
