Date,Stader-TVL-total,market_cap
2023-02-04,177457207.2,28059970.2183447
2023-02-05,177974464.5,26774570.38180521
2023-02-06,174208296.5,28931202.87194357
2023-02-07,169892380.4,34013667.604493186
2023-02-08,182830945.3,36144534.96751989
2023-02-09,183303902.8,32941915.823215004
2023-02-10,173918588.8,31220176.108349472
2023-02-11,179516601.3,27143247.82919726
2023-02-12,195335270.1,27950555.57421996
2023-02-13,192754492.9,27743973.66170524
2023-02-14,192078183.1,24211745.049737595
2023-02-15,194453607.9,25575964.007245
2023-02-16,206236149.4,28679935.85315642
2023-02-17,203631595.2,27071150.311321173
2023-02-18,146115468.4,29566288.50362636
2023-02-19,144005045.2,30628661.863859203
2023-02-20,142822089.9,30715695.02148383
2023-02-21,143148425.9,32101206.98613724
2023-02-22,135112682.7,29036304.15069808
2023-02-23,138106382.9,26599805.62523312
2023-02-24,135322711.1,26637830.82916944
2023-02-25,128484778.5,24650821.77479596
2023-02-26,125254271,24466777.70125246
2023-02-27,127266236.7,29918187.59436735
2023-02-28,123972521.1,29297625.84553345
2023-03-01,120122760.4,27868473.46930436
2023-03-02,123964363.1,28773033.42429381
2023-03-03,121472166.6,30114187.94983337
2023-03-04,116675329.8,26518518.91283696
2023-03-05,113550688,26637654.34617605
2023-03-06,114712972.6,26793179.48288609
2023-03-07,115254765.5,25735376.930387523
2023-03-08,115188154.8,25124573.29996198
2023-03-09,108869034.8,24443010.259784207
2023-03-11,110145802.1,18767198.352722973
2023-03-12,106529520.5,18940032.871258657
2023-03-13,116785803,22777341.618873324
2023-03-14,120694632.3,23612028.878202427
2023-03-15,123289755.4,25618109.823350523
2023-03-16,113944746.6,25207072.30527376
2023-03-17,115408914.5,25862227.040160496
2023-03-18,125921566.2,27293030.258356385
2023-03-19,122849778.5,26934783.399539366
2023-03-20,122070055.1,26653779.48669476
2023-03-21,118889764.3,25267741.86416829
2023-03-22,119295703.5,26087885.19577953
2023-03-23,116614407.1,25165921.40644072
2023-03-24,113637147.5,24995670.349759653
2023-03-25,110521178.5,21601192.791407563
2023-03-26,108594979.2,22959649.170453824
2023-03-27,111902034.4,24313543.933048114
2023-03-28,107985653,24043488.524559576
2023-03-29,109778002.4,23684216.761221703
2023-03-30,114213454.8,23955857.19475966
2023-03-31,115766100.7,25028369.741048023
2023-04-01,119141289.3,26468592.25241787
2023-04-02,119273199.6,25307498.32810681
2023-04-05,120899049.5,30272002.214774705
2023-04-06,118123437.9,36561329.14241186
2023-04-07,118419259.1,40160134.43613861
2023-04-08,116499060.6,39323572.9272727
2023-04-09,117422328.2,34478387.93132773
2023-04-10,117147557.1,31421385.19586045
2023-04-11,119912648.4,31103674.02228639
2023-04-12,119643671.2,31685781.369091075
2023-04-13,120449884.4,30506328.991241105
2023-04-14,126010615.4,30043127.28265604
